0.21896	0.80713
0.047045	0.21272
0.67886	0.70402
0.6793	0.73165
0.93469	1.43
0.3835	1.0785
0.51942	0.83404
0.83097	1.1217
0.034572	0.13524
0.053462	0.25867
0.5297	0.67225
0.67115	0.62727
0.0076982	0.14798
0.38342	0.84495
0.066842	0.27441
0.41749	0.86998
0.68677	0.68305
0.58898	0.61702
0.93044	1.3425
0.84617	1.0998
0.52693	0.81544
0.091965	0.22225
0.65392	0.62604
0.416	0.99259
0.70119	0.69399
0.91032	1.387
0.7622	0.79949
0.26245	0.86189
0.047465	0.19149
0.73608	0.58966
0.32823	0.91725
0.63264	0.8268
0.75641	0.82326
0.99104	1.7203
0.36534	0.87674
0.24704	0.72298
0.98255	1.9137
0.72266	0.66034
0.75336	0.74556
0.65152	0.86426
0.072686	0.32129
0.63163	0.74177
0.88471	1.0932
0.27271	0.79798
0.43641	0.91317
0.76649	0.71166
0.47773	0.83579
0.23777	0.77661
0.27491	0.96464
0.35926	0.65707
